channel,status,secondary_status,epoch_scope,evidence_state,note
14,measurement_bound,,current epoch,screening,"Band-edge pair completed 2026-08-19: faint episodic carriers at the synthesized pilot (94.8%/99.9% masked at the survey rule, 25%/27% at the working threshold); chain evaluated: verdicts controlled by refused correlation times; channel 14 carries a measured -48.8 dB floor from 1,151 null frames, channel 15's floor is unmeasured; kept-and-masked under the channel-36 inclusive-for-now rule, flagged pending the coherence measurement."
15,measurement_bound,,current epoch,screening,"Band-edge pair completed 2026-08-19: faint episodic carriers at the synthesized pilot (94.8%/99.9% masked at the survey rule, 25%/27% at the working threshold); chain evaluated: verdicts controlled by refused correlation times; channel 14 carries a measured -48.8 dB floor from 1,151 null frames, channel 15's floor is unmeasured; kept-and-masked under the channel-36 inclusive-for-now rule, flagged pending the coherence measurement."
16,measurement_bound,,current epoch,screening,Trace-level occupancy with warm-season propagation; chain evaluated: kept-frame floor and correlation time both pending measurement.
17,excision_candidate,,current measured epoch,screening,Near-continuous occupancy at the survey rule; chain confirms occupancy-pinned excision.
18,measurement_bound,,current epoch,screening,"Trace occupancy; chain evaluated: verdicts controlled by refused correlation times and, on 23 and 25, unmeasured kept-frame floors; channel 21 carries the archive's largest null population."
19,measurement_bound,excision_candidate,off-epoch|on-epoch,screening,"Transmitter sign-off measured to the month; off-epoch chain rows evaluated at conservative era floors; verdicts controlled by off-epoch coherence (19, 26) or the kept-frame floor basis (20)."
20,measurement_bound,excision_candidate,off-epoch|on-epoch,screening,"Transmitter sign-off measured to the month; off-epoch chain rows evaluated at conservative era floors; verdicts controlled by off-epoch coherence (19, 26) or the kept-frame floor basis (20)."
21,measurement_bound,,current epoch,screening,"Trace occupancy; chain evaluated: verdicts controlled by refused correlation times and, on 23 and 25, unmeasured kept-frame floors; channel 21 carries the archive's largest null population."
22,excision_candidate,,current measured epoch,screening,Near-continuous occupancy at the survey rule; chain confirms occupancy-pinned excision.
23,measurement_bound,,current epoch,screening,"Trace occupancy; chain evaluated: verdicts controlled by refused correlation times and, on 23 and 25, unmeasured kept-frame floors; channel 21 carries the archive's largest null population."
24,excision_candidate,,current measured epoch,screening,Near-continuous occupancy; archive thinned by the instrument's collection curtailment on the strongest carriers.
25,measurement_bound,,current epoch,screening,"Trace occupancy; chain evaluated: verdicts controlled by refused correlation times and, on 23 and 25, unmeasured kept-frame floors; channel 21 carries the archive's largest null population."
26,measurement_bound,excision_candidate,off-epoch|on-epoch,screening,"Transmitter sign-off measured to the month; off-epoch chain rows evaluated at conservative era floors; verdicts controlled by off-epoch coherence (19, 26) or the kept-frame floor basis (20)."
27,measurement_bound,excision_candidate,post-2022|station era,screening,Sign-off bounded inside the 2021-22 collection gap; off-epoch floor available; chain re-evaluation pending.
28,excision_candidate,,current measured epoch,screening,Always-on or occupancy-pinned in the current screening result.
29,measurement_bound,,current measured epoch,screening,Verdict is limited by the currently available floor or coherence measurement.
30,excision_candidate,,through September 2023,screening,"Shelf at system noise in the screening result; baseband collection ceased September 2023, so the later state is unmonitored."
31,excision_candidate,,current measured epoch,screening,Always-on or occupancy-pinned in the current screening result.
32,conditional_recovery,,current measured epoch,screening,Conditionally recoverable under the current residual model.
33,conditional_recovery,,current measured epoch,screening,Conditionally recoverable under the current residual model.
34,measurement_bound,,current measured epoch,screening,Verdict is limited by the currently available floor or coherence measurement.
35,conditional_recovery,excision_candidate,pre-2021|post-2021,screening,Epoch split: conditional recovery before switch-on and occupancy-pinned afterward.
36,excision_candidate,,current measured epoch,screening,Always-on or occupancy-pinned in the current screening result.
