channel,epoch_key,epoch_group,epoch_label,survey_mask_fraction,fine_mask_fraction,residual_ratio,retained_frames,status,evidence_state,note
19,ch19_on_through_2024_11,0,on epoch,0.997,,,,failure,measured,Transmitter on through November 2024; occupancy-pinned at the survey rule.
19,ch19_off_from_2024_12,1,off epoch,0.865,,,,conditional,measured,Sign-off December 2024; the survey rule still fires on faint residual excess. Off-epoch shelf floor -33.5 dB (p90); fine calibration pending.
20,ch20_on_through_2022_08,0,on epoch,1,,,,failure,measured,Transmitter on through August 2022; occupancy-pinned at the survey rule.
20,ch20_off_from_2022_09,1,off epoch,0.997,,,,conditional,measured,Two-stage step-down September 2022; the survey rule still fires on faint residual excess. Off-epoch shelf floor -26.1 dB (p90); fine calibration pending.
26,ch26_on_through_2023_03,0,on epoch,0.999,,,,failure,measured,Transmitter on through March 2023; occupancy-pinned at the survey rule.
26,ch26_off_from_2023_04,1,off epoch,0.927,,,,conditional,measured,Sign-off April 2023; the survey rule still fires on faint residual excess. Off-epoch shelf floor -32.3 dB (p90); fine calibration pending.
27,ch27_on_through_2020_11,0,station era,1,,,,failure,measured,Strong through November 2020; the transition is bounded inside the 2021-22 collection gap.
27,ch27_off_from_2022_10,1,post-station era,0.974,,,,conditional,measured,Trace-level from October 2022 onward; the survey rule still fires on faint residual excess. Off-epoch shelf floor -24.4 dB (p90); chain re-evaluation pending.
32,ch32_pre_2021,0,station era,0.998,,,7,failure,measured,Fine calibration retains seven frames; no defensible operating point.
32,ch32_post_2021,1,modern era,0.59,0.433,0.0155,,conditional,measured+modeled,Fine operating point remains conditional on transfer and estimator validation.
35,ch35_pre_2021,0,early era,0.461,0.181,,,conditional,measured+modeled,Early epoch has a feasible fine-mask fraction under the current model.
35,ch35_post_2021,1,switch-on era,0.942,0.988,0.237,,failure,measured+modeled,Post-switch-on epoch is occupancy-pinned under the current policy.
